# genbank accession	Genus/species/strain	Genus/species	Body site
KP202969	Achromobacter xylosoxidans	Achromobacter xylosoxidans	Ear
KP202970	Achromobacter xylosoxidans	Achromobacter xylosoxidans	Ear
KP202971	Achromobacter xylosoxidans	Achromobacter xylosoxidans	Ear
KP313532	Achromobacter xylosoxidans A22732	Achromobacter xylosoxidans	Ear
KT321316	Achromobacter xylosoxidans	Achromobacter xylosoxidans	Ear
KT321317	Achromobacter xylosoxidans	Achromobacter xylosoxidans	Ear
DQ123818	Actinomyces naeslundii	Actinomyces naeslundii	Mouth
HE608841	Bacteroides fragilis	Bacteroides fragilis	Appendix
KM236239	Citrobacter freundii	Citrobacter freundii	Mouth
KM236240	Citrobacter freundii	Citrobacter freundii	Mouth
KM236241	Citrobacter freundii	Citrobacter freundii	Mouth
KP313531	Citrobacter freundii P10159	Citrobacter freundii	Mouth
KR869820	Citrobacter freundii	Citrobacter freundii	Mouth
KT001915	Citrobacter freundii	Citrobacter freundii	Mouth
KT001916	Citrobacter freundii	Citrobacter freundii	Mouth
KT363872	Citrobacter freundii	Citrobacter freundii	Mouth
KU687347	Citrobacter freundii CF5	Citrobacter freundii	Mouth
KU687348	Citrobacter freundii CF5	Citrobacter freundii	Mouth
KU687349	Citrobacter freundii CF3	Citrobacter freundii	Mouth
KU687350	Citrobacter freundii CF3	Citrobacter freundii	Mouth
KU687351	Citrobacter freundii CF3	Citrobacter freundii	Mouth
KY654690	Citrobacter freundii	Citrobacter freundii	Mouth
KY694971	Citrobacter freundii	Citrobacter freundii	Mouth
EU719189	Clostridium difficile	Clostridium difficile	Gut
GU949551	Clostridium difficile	Clostridium difficile	Gut
HG796225	Clostridium difficile	Clostridium difficile	Gut
HM568888	Clostridium difficile	Clostridium difficile	Gut
JX145341	Clostridium difficile	Clostridium difficile	Gut
JX145342	Clostridium difficile	Clostridium difficile	Gut
KU057941	Clostridium difficile AIU	Clostridium difficile	Gut
KX228399	Clostridium difficile strain CD105HE1 ribotype 076	Clostridium difficile	Gut
KX228400	Clostridium difficile strain CD105HE1 ribotype 076	Clostridium difficile	Gut
LN681534	Clostridium difficile	Clostridium difficile	Gut
LN681535	Clostridium difficile	Clostridium difficile	Gut
LN681536	Clostridium difficile	Clostridium difficile	Gut
LN681537	Clostridium difficile	Clostridium difficile	Gut
LN681538	Clostridium difficile	Clostridium difficile	Gut
LN681539	Clostridium difficile	Clostridium difficile	Gut
LN681540	Clostridium difficile	Clostridium difficile	Gut
LN681541	Clostridium difficile	Clostridium difficile	Gut
LN681542	Clostridium difficile	Clostridium difficile	Gut
AY082070	Clostridium perfringens	Clostridium perfringens	Gut
CP000315	Clostridium perfringens SM101	Clostridium perfringens	Gut
EU588980	Clostridium perfringens	Clostridium perfringens	Gut
GQ443085	Clostridium perfringens	Clostridium perfringens	Gut
JF767208	Clostridium perfringens	Clostridium perfringens	Gut
JF767209	Clostridium perfringens	Clostridium perfringens	Gut
JF767210	Clostridium perfringens	Clostridium perfringens	Gut
JN800508	Clostridium perfringens	Clostridium perfringens	Gut
JQ660954	Clostridium perfringens strain S63	Clostridium perfringens	Gut
JQ729990	Clostridium perfringens	Clostridium perfringens	Gut
JQ729991	Clostridium perfringens	Clostridium perfringens	Gut
JQ729992	Clostridium perfringens	Clostridium perfringens	Gut
KC237729	Clostridium perfringens 5147-97	Clostridium perfringens	Gut
KY996523	Clostridium perfringens	Clostridium perfringens	Gut
HQ641380	Enterobacter cloacae	Enterobacter cloacae	Gut
JQ267518	Enterobacter cloacae	Enterobacter cloacae	Gut
KJ101592	Enterobacter cloacae clinial isolate EC7	Enterobacter cloacae	Gut
KP791805	Enterobacter cloacae	Enterobacter cloacae	Gut
KP791806	Enterobacter cloacae	Enterobacter cloacae	Gut
KP791807	Enterobacter cloacae	Enterobacter cloacae	Gut
AB609718	Enterococcus faecalis	Enterococcus faecalis	Gut
AB712291	Enterococcus faecalis	Enterococcus faecalis	Gut
AP009390	Enterococcus faecalis	Enterococcus faecalis	Gut
CP002495	Enterococcus faecalis 62	Enterococcus faecalis	Gut
FJ792813	Enterococcus faecalis	Enterococcus faecalis	Gut
GQ452243	Enterococcus faecalis	Enterococcus faecalis	Gut
GQ478081	Enterococcus faecalis	Enterococcus faecalis	Gut
GQ478082	Enterococcus faecalis	Enterococcus faecalis	Gut
GQ478083	Enterococcus faecalis	Enterococcus faecalis	Gut
GQ478084	Enterococcus faecalis	Enterococcus faecalis	Gut
GQ478085	Enterococcus faecalis	Enterococcus faecalis	Gut
GQ478086	Enterococcus faecalis	Enterococcus faecalis	Gut
GQ478087	Enterococcus faecalis	Enterococcus faecalis	Gut
GQ478088	Enterococcus faecalis	Enterococcus faecalis	Gut
GU815339	Enterococcus faecalis	Enterococcus faecalis	Gut
JF731128	Enterococcus faecalis	Enterococcus faecalis	Gut
JX193904	Enterococcus faecalis	Enterococcus faecalis	Gut
KF192053	Enterococcus faecalis 002	Enterococcus faecalis	Gut
KF728385	Enterococcus faecalis	Enterococcus faecalis	Gut
KJ094032	Enterococcus faecalis	Enterococcus faecalis	Gut
KJ127303	Enterococcus faecalis 8413	Enterococcus faecalis	Gut
KJ608188	Enterococcus faecalis	Enterococcus faecalis	Gut
KJ801817	Enterococcus faecalis	Enterococcus faecalis	Gut
KP339049	Enterococcus faecalis	Enterococcus faecalis	Gut
KR049063	Enterococcus faecalis	Enterococcus faecalis	Gut
KT932699	Enterococcus faecalis 2008	Enterococcus faecalis	Gut
KT932700	Enterococcus faecalis 2003	Enterococcus faecalis	Gut
KT932701	Enterococcus faecalis 2007	Enterococcus faecalis	Gut
KT945994	Enterococcus faecalis	Enterococcus faecalis	Gut
KX284704	Enterococcus faecalis ATCC 19433	Enterococcus faecalis	Gut
KY303907	Enterococcus faecalis GF29	Enterococcus faecalis	Gut
KY472224	Enterococcus faecalis N10	Enterococcus faecalis	Gut
MF678788	Enterococcus faecalis	Enterococcus faecalis	Gut
MF678789	Enterococcus faecalis	Enterococcus faecalis	Gut
MF678790	Enterococcus faecalis	Enterococcus faecalis	Gut
MG264739	Enterococcus faecalis ATCC 49533	Enterococcus faecalis	Gut
JQ309827	Enterococcus faecium	Enterococcus faecium	Gut
KJ010489	Enterococcus faecium	Enterococcus faecium	Gut
KR131750	Enterococcus faecium	Enterococcus faecium	Gut
KT588072	Enterococcus faecium	Enterococcus faecium	Gut
KT945995	Enterococcus faecium	Enterococcus faecium	Gut
KY549443	Enterococcus faecium	Enterococcus faecium	Gut
AB255436	Escherichia coli O86:H-, strain DIJ1	Escherichia coli	Gut
AB285204	Escherichia coli	Escherichia coli	Gut
AB971354	Escherichia coli	Escherichia coli	Gut
AF125520	Escherichia coli O157:H7, strain EDL933	Escherichia coli	Gut
AP000363	Escherichia coli O157:H7, strain RIMD0509894	Escherichia coli	Gut
AP004402	Escherichia coli O157:H7 Okayama O-27	Escherichia coli	Gut
AP005153	Escherichia coli O157:H7 Morioka V526	Escherichia coli	Gut
AP005154	Escherichia coli O157:H7 Morioka V526	Escherichia coli	Gut
AP011113	Escherichia coli O157:H7	Escherichia coli	Gut
AP012529	Escherichia coli O157:H7 strain F403	Escherichia coli	Gut
AP012530	Escherichia coli O157:H7 strain F349	Escherichia coli	Gut
AP012531	Escherichia coli O157:H7 strain F422	Escherichia coli	Gut
AP012532	Escherichia coli O157:H7 strain F451	Escherichia coli	Gut
AP012533	Escherichia coli O157:H7 strain F723	Escherichia coli	Gut
AP012534	Escherichia coli O157:H7 strain F765	Escherichia coli	Gut
AP012535	Escherichia coli O157:H7 strain 981795	Escherichia coli	Gut
AP012536	Escherichia coli O157:H7 strain 1447	Escherichia coli	Gut
AP012537	Escherichia coli O157:H7 strain 980938	Escherichia coli	Gut
AP012538	Escherichia coli O157:H7 strain 990281	Escherichia coli	Gut
AP012539	Escherichia coli O157:H7 strain 990570	Escherichia coli	Gut
AP012540	Escherichia coli O157:H7 strain 982243	Escherichia coli	Gut
AY135739	Escherichia coli W strain ATCC9637	Escherichia coli	Gut
CP000711	Escherichia coli RS218	Escherichia coli	Gut
DQ126339	Escherichia coli O157:H7	Escherichia coli	Gut
EF380009	Escherichia coli	Escherichia coli	Gut
EF380010	Escherichia coli	Escherichia coli	Gut
EF380011	Escherichia coli	Escherichia coli	Gut
EF380012	Escherichia coli	Escherichia coli	Gut
EF380013	Escherichia coli	Escherichia coli	Gut
EF380014	Escherichia coli	Escherichia coli	Gut
EF380015	Escherichia coli	Escherichia coli	Gut
EF380016	Escherichia coli	Escherichia coli	Gut
EF380017	Escherichia coli	Escherichia coli	Gut
EF380018	Escherichia coli	Escherichia coli	Gut
EF380019	Escherichia coli	Escherichia coli	Gut
EF380020	Escherichia coli	Escherichia coli	Gut
EF380021	Escherichia coli	Escherichia coli	Gut
EF380022	Escherichia coli	Escherichia coli	Gut
EF380023	Escherichia coli	Escherichia coli	Gut
EF380024	Escherichia coli	Escherichia coli	Gut
EF380025	Escherichia coli	Escherichia coli	Gut
EF380026	Escherichia coli	Escherichia coli	Gut
EF380027	Escherichia coli	Escherichia coli	Gut
EF380028	Escherichia coli	Escherichia coli	Gut
EF380029	Escherichia coli	Escherichia coli	Gut
EF380030	Escherichia coli	Escherichia coli	Gut
EF380031	Escherichia coli	Escherichia coli	Gut
EF380032	Escherichia coli	Escherichia coli	Gut
EF437941	Escherichia coli K-12 (F+)	Escherichia coli	Gut
EU078592	Escherichia coli BL21(DE3)	Escherichia coli	Gut
EU311208	Escherichia coli O157:H7 str. Min27	Escherichia coli	Gut
EU330206	Escherichia coli	Escherichia coli	Gut
EU734171	Escherichia coli	Escherichia coli	Gut
EU734172	Escherichia coli	Escherichia coli	Gut
EU734174	Escherichia coli	Escherichia coli	Gut
EU863408	Escherichia coli K12	Escherichia coli	Gut
FJ483837	Escherichia coli	Escherichia coli	Gut
FJ483838	Escherichia coli	Escherichia coli	Gut
FJ483839	Escherichia coli	Escherichia coli	Gut
FJ483840	Escherichia coli	Escherichia coli	Gut
FJ483841	Escherichia coli	Escherichia coli	Gut
FJ483842	Escherichia coli	Escherichia coli	Gut
FJ483843	Escherichia coli	Escherichia coli	Gut
FJ483844	Escherichia coli	Escherichia coli	Gut
FJ539132	Escherichia coli	Escherichia coli	Gut
FJ539133	Escherichia coli	Escherichia coli	Gut
FJ539134	Escherichia coli	Escherichia coli	Gut
FJ539135	Escherichia coli	Escherichia coli	Gut
FJ750948	Escherichia coli	Escherichia coli	Gut
FJ849058	Escherichia coli C	Escherichia coli	Gut
FO818745	Escherichia coli	Escherichia coli	Gut
FR775895	Escherichia coli K92	Escherichia coli	Gut
GQ149088	Escherichia coli strain K12	Escherichia coli	Gut
GQ357916	Escherichia coli	Escherichia coli	Gut
GQ468526	Escherichia coli	Escherichia coli	Gut
GU196277	Escherichia coli O18:K1:H7	Escherichia coli	Gut
GU196278	Escherichia coli O18:K1:H7	Escherichia coli	Gut
GU196279	Escherichia coli O18:K1:H7	Escherichia coli	Gut
GU196280	Escherichia coli O18:K1:H7	Escherichia coli	Gut
GU196281	Escherichia coli O18:K1:H7	Escherichia coli	Gut
GU323318	Escherichia coli	Escherichia coli	Gut
GU385905	Escherichia coli	Escherichia coli	Gut
GU903191	Escherichia coli	Escherichia coli	Gut
HE664024	Escherichia coli CB13374, serotype O104:H4	Escherichia coli	Gut
HE978309	Escherichia coli O104:H4	Escherichia coli	Gut
HG803182	Escherichia coli CB13363, serotype O104:H4	Escherichia coli	Gut
HG803183	Escherichia coli CB13368, serotype O104:H4	Escherichia coli	Gut
HG803184	Escherichia coli CB13353, serotype O104:H4	Escherichia coli	Gut
HG803185	Escherichia coli CB13357, serotype O104:H4	Escherichia coli	Gut
HM134276	Escherichia coli	Escherichia coli	Gut
HM137666	Escherichia coli	Escherichia coli	Gut
HM173637	Escherichia coli K-12	Escherichia coli	Gut
HM208537	Escherichia coli	Escherichia coli	Gut
HM563683	Escherichia coli	Escherichia coli	Gut
HM753658	Escherichia coli	Escherichia coli	Gut
HM753659	Escherichia coli	Escherichia coli	Gut
HM753664	Escherichia coli	Escherichia coli	Gut
HM753665	Escherichia coli	Escherichia coli	Gut
HM753666	Escherichia coli	Escherichia coli	Gut
HM753667	Escherichia coli	Escherichia coli	Gut
HM753668	Escherichia coli	Escherichia coli	Gut
HM753676	Escherichia coli	Escherichia coli	Gut
HM753677	Escherichia coli	Escherichia coli	Gut
HM753680	Escherichia coli	Escherichia coli	Gut
HM753681	Escherichia coli	Escherichia coli	Gut
HM753682	Escherichia coli	Escherichia coli	Gut
HM753683	Escherichia coli	Escherichia coli	Gut
HM753684	Escherichia coli	Escherichia coli	Gut
HM753685	Escherichia coli	Escherichia coli	Gut
HM753690	Escherichia coli	Escherichia coli	Gut
HM753691	Escherichia coli	Escherichia coli	Gut
HM753692	Escherichia coli	Escherichia coli	Gut
HM753693	Escherichia coli	Escherichia coli	Gut
HM753694	Escherichia coli	Escherichia coli	Gut
HM753695	Escherichia coli	Escherichia coli	Gut
HM753703	Escherichia coli	Escherichia coli	Gut
HM753704	Escherichia coli	Escherichia coli	Gut
HM753707	Escherichia coli	Escherichia coli	Gut
HM753708	Escherichia coli	Escherichia coli	Gut
HM753709	Escherichia coli	Escherichia coli	Gut
HM753710	Escherichia coli	Escherichia coli	Gut
HM753711	Escherichia coli	Escherichia coli	Gut
HM753712	Escherichia coli	Escherichia coli	Gut
HM997020	Escherichia coli	Escherichia coli	Gut
HQ665011	Escherichia coli	Escherichia coli	Gut
HQ829472	Escherichia coli O78.A	Escherichia coli	Gut
JF719726	Escherichia coli IJ1862	Escherichia coli	Gut
JF719727	Escherichia coli IJ1862	Escherichia coli	Gut
JF719728	Escherichia coli IJ1862	Escherichia coli	Gut
JF719729	Escherichia coli IJ1862	Escherichia coli	Gut
JF719730	Escherichia coli IJ1862	Escherichia coli	Gut
JF719731	Escherichia coli IJ1862	Escherichia coli	Gut
JF719732	Escherichia coli IJ1862	Escherichia coli	Gut
JF719733	Escherichia coli IJ1862	Escherichia coli	Gut
JF719734	Escherichia coli IJ1862	Escherichia coli	Gut
JF974339	Escherichia coli	Escherichia coli	Gut
JN202312	Escherichia coli	Escherichia coli	Gut
JN600960	Escherichia coli	Escherichia coli	Gut
JN673056	Escherichia coli O157:H7	Escherichia coli	Gut
JN986844	Escherichia coli	Escherichia coli	Gut
JN986846	Escherichia coli	Escherichia coli	Gut
JQ011317	Escherichia coli O103:H25 strain	Escherichia coli	Gut
JQ011318	Escherichia coli O103:H25 strain	Escherichia coli	Gut
JQ031132	Escherichia coli	Escherichia coli	Gut
JX128257	Escherichia coli O157:H7	Escherichia coli	Gut
JX128258	Escherichia coli O157:H7	Escherichia coli	Gut
JX128259	Escherichia coli O157:H7	Escherichia coli	Gut
JX415535	Escherichia coli KBP21	Escherichia coli	Gut
JX415536	Escherichia coli KBP135	Escherichia coli	Gut
JX421753	Escherichia coli	Escherichia coli	Gut
JX536493	Escherichia coli DM01	Escherichia coli	Gut
JX560968	Escherichia coli serotype O157:H7	Escherichia coli	Gut
JX865427	Escherichia coli O157:H7	Escherichia coli	Gut
JX880034	Escherichia coli	Escherichia coli	Gut
KC206276	Escherichia coli O78:K80	Escherichia coli	Gut
KC295538	Escherichia coli O157	Escherichia coli	Gut
KC333879	Escherichia coli	Escherichia coli	Gut
KC618326	Escherichia coli O157:H43 str. T22	Escherichia coli	Gut
KC690136	Escherichia coli O157:H7 E318	Escherichia coli	Gut
KC801932	Escherichia coli BL21(DE3)	Escherichia coli	Gut
KF030445	Escherichia coli strain O174:H21 isolate 1720a	Escherichia coli	Gut
KF055347	Escherichia coli VN2-O8:F4 ETEC	Escherichia coli	Gut
KF322032	Escherichia coli O157:H7	Escherichia coli	Gut
KF591601	Escherichia coli 147-30R1	Escherichia coli	Gut
KF971864	Escherichia coli O111:H2 strain ED 191	Escherichia coli	Gut
KF981730	Escherichia coli KBP1711	Escherichia coli	Gut
KJ135004	Escherichia coli	Escherichia coli	Gut
KJ190157	Escherichia coli O157:H7	Escherichia coli	Gut
KJ190158	Escherichia coli O157:H7	Escherichia coli	Gut
KJ419279	Escherichia coli	Escherichia coli	Gut
KJ668714	Escherichia coli	Escherichia coli	Gut
KJ748011	Escherichia coli O153	Escherichia coli	Gut
KJ749827	Escherichia coli	Escherichia coli	Gut
KM044272	Escherichia coli ECOR10	Escherichia coli	Gut
KM092515	Escherichia coli O157:H7	Escherichia coli	Gut
KM190144	Escherichia coli O157:H7	Escherichia coli	Gut
KM236242	Escherichia coli	Escherichia coli	Gut
KM236243	Escherichia coli	Escherichia coli	Gut
KM242061	Escherichia coli HY05C	Escherichia coli	Gut
KM247287	Escherichia coli K-12 IJ2038	Escherichia coli	Gut
KM360178	Escherichia coli	Escherichia coli	Gut
KM606994	Escherichia coli B	Escherichia coli	Gut
KM606995	Escherichia coli B	Escherichia coli	Gut
KM606996	Escherichia coli B	Escherichia coli	Gut
KM606997	Escherichia coli B	Escherichia coli	Gut
KM606998	Escherichia coli B	Escherichia coli	Gut
KM606999	Escherichia coli B	Escherichia coli	Gut
KM607000	Escherichia coli B	Escherichia coli	Gut
KM607001	Escherichia coli B	Escherichia coli	Gut
KM607002	Escherichia coli B	Escherichia coli	Gut
KM607003	Escherichia coli B	Escherichia coli	Gut
KM607004	Escherichia coli B	Escherichia coli	Gut
KM657822	Escherichia coli B strains	Escherichia coli	Gut
KM896878	Escherichia coli ATCC 11303	Escherichia coli	Gut
KM979354	Escherichia coli	Escherichia coli	Gut
KM979355	Escherichia coli	Escherichia coli	Gut
KP007359	Escherichia coli	Escherichia coli	Gut
KP007360	Escherichia coli	Escherichia coli	Gut
KP007361	Escherichia coli	Escherichia coli	Gut
KP007362	Escherichia coli	Escherichia coli	Gut
KP063541	Escherichia coli K88	Escherichia coli	Gut
KP064094	Escherichia coli K12 MG1655	Escherichia coli	Gut
KP090453	Escherichia coli DE48	Escherichia coli	Gut
KP090454	Escherichia coli DE69	Escherichia coli	Gut
KP308307	Escherichia coli 172	Escherichia coli	Gut
KP682371	Escherichia coli PA2	Escherichia coli	Gut
KP682372	Escherichia coli PA4	Escherichia coli	Gut
KP682373	Escherichia coli PA5	Escherichia coli	Gut
KP682374	Escherichia coli PA8	Escherichia coli	Gut
KP682375	Escherichia coli PA11	Escherichia coli	Gut
KP682376	Escherichia coli PA12	Escherichia coli	Gut
KP682377	Escherichia coli PA16	Escherichia coli	Gut
KP682378	Escherichia coli PA18	Escherichia coli	Gut
KP682379	Escherichia coli PA21	Escherichia coli	Gut
KP682380	Escherichia coli PA27	Escherichia coli	Gut
KP682381	Escherichia coli PA28	Escherichia coli	Gut
KP682382	Escherichia coli PA29	Escherichia coli	Gut
KP682383	Escherichia coli PA30	Escherichia coli	Gut
KP682384	Escherichia coli PA32	Escherichia coli	Gut
KP682385	Escherichia coli PA33	Escherichia coli	Gut
KP682386	Escherichia coli PA36	Escherichia coli	Gut
KP682387	Escherichia coli PA42	Escherichia coli	Gut
KP682388	Escherichia coli PA44	Escherichia coli	Gut
KP682389	Escherichia coli PA45	Escherichia coli	Gut
KP682390	Escherichia coli PA50	Escherichia coli	Gut
KP682391	Escherichia coli PA51	Escherichia coli	Gut
KP682392	Escherichia coli PA52	Escherichia coli	Gut
KP719132	Escherichia coli K-12 MG1655	Escherichia coli	Gut
KP719133	Escherichia coli K-12 MG1655	Escherichia coli	Gut
KP719134	Escherichia coli K-12 MG1655	Escherichia coli	Gut
KP869100	Escherichia coli O157:H7	Escherichia coli	Gut
KP869101	Escherichia coli O157:H7	Escherichia coli	Gut
KP869103	Escherichia coli O157:H7	Escherichia coli	Gut
KP869104	Escherichia coli O157:H7	Escherichia coli	Gut
KP869108	Escherichia coli O157:H7	Escherichia coli	Gut
KP869109	Escherichia coli O157:H7	Escherichia coli	Gut
KP869110	Escherichia coli O157:H7	Escherichia coli	Gut
KR073660	Escherichia coli DE048	Escherichia coli	Gut
KR073661	Escherichia coli DE048	Escherichia coli	Gut
KR233165	Escherichia coli O157:H7	Escherichia coli	Gut
KR269718	Escherichia coli O157:H7 ATCC 43890	Escherichia coli	Gut
KR422352	Escherichia coli	Escherichia coli	Gut
KR422353	Escherichia coli	Escherichia coli	Gut
KR698074	Escherichia coli	Escherichia coli	Gut
KT001917	Escherichia coli	Escherichia coli	Gut
KT232076	Escherichia coli K-12 CV601	Escherichia coli	Gut
KT454805	Escherichia coli MG1655	Escherichia coli	Gut
KT454806	Escherichia coli MG1655	Escherichia coli	Gut
KT825490	Escherichia coli O:157 EC-48	Escherichia coli	Gut
KU052037	water buffalo	Escherichia coli	Gut
KU255730	Escherichia coli	Escherichia coli	Gut
KU298437	Escherichia coli O104:H4 strain ON-2011	Escherichia coli	Gut
KU867876	Escherichia coli UFV30	Escherichia coli	Gut
KU878968	Escherichia coli DE017	Escherichia coli	Gut
KU878969	Escherichia coli DE217	Escherichia coli	Gut
KU925172	Escherichia coli	Escherichia coli	Gut
KU927499	Escherichia coli	Escherichia coli	Gut
KX130668	Escherichia coli NovaBlue	Escherichia coli	Gut
KX130726	Escherichia coli ATCC 13706	Escherichia coli	Gut
KX130960	Escherichia coli	Escherichia coli	Gut
KX266300	Escherichia coli C	Escherichia coli	Gut
KX266301	Escherichia coli C	Escherichia coli	Gut
KX266302	Escherichia coli C	Escherichia coli	Gut
KX266303	Escherichia coli C	Escherichia coli	Gut
KX266304	Escherichia coli C	Escherichia coli	Gut
KX266305	Escherichia coli C	Escherichia coli	Gut
KX266306	Escherichia coli C	Escherichia coli	Gut
KX266307	Escherichia coli C	Escherichia coli	Gut
KX266308	Escherichia coli C	Escherichia coli	Gut
KX266309	Escherichia coli C	Escherichia coli	Gut
KX266310	Escherichia coli C	Escherichia coli	Gut
KX266311	Escherichia coli C	Escherichia coli	Gut
KX266312	Escherichia coli C	Escherichia coli	Gut
KX266313	Escherichia coli C	Escherichia coli	Gut
KX266314	Escherichia coli C	Escherichia coli	Gut
KX266315	Escherichia coli C	Escherichia coli	Gut
KX266316	Escherichia coli C	Escherichia coli	Gut
KX266317	Escherichia coli C	Escherichia coli	Gut
KX266318	Escherichia coli C	Escherichia coli	Gut
KX266319	Escherichia coli C	Escherichia coli	Gut
KX266320	Escherichia coli C	Escherichia coli	Gut
KX266321	Escherichia coli C	Escherichia coli	Gut
KX266322	Escherichia coli C	Escherichia coli	Gut
KX266323	Escherichia coli C	Escherichia coli	Gut
KX266324	Escherichia coli C	Escherichia coli	Gut
KX266325	Escherichia coli C	Escherichia coli	Gut
KX266326	Escherichia coli C	Escherichia coli	Gut
KX266327	Escherichia coli C	Escherichia coli	Gut
KX266328	Escherichia coli C	Escherichia coli	Gut
KX266329	Escherichia coli C	Escherichia coli	Gut
KX266330	Escherichia coli C	Escherichia coli	Gut
KX266331	Escherichia coli C	Escherichia coli	Gut
KX266332	Escherichia coli C	Escherichia coli	Gut
KX266333	Escherichia coli C	Escherichia coli	Gut
KX266334	Escherichia coli C	Escherichia coli	Gut
KX266335	Escherichia coli C	Escherichia coli	Gut
KX266336	Escherichia coli C	Escherichia coli	Gut
KX266337	Escherichia coli C	Escherichia coli	Gut
KX266338	Escherichia coli C	Escherichia coli	Gut
KX266339	Escherichia coli C	Escherichia coli	Gut
KX266340	Escherichia coli C	Escherichia coli	Gut
KX266341	Escherichia coli C	Escherichia coli	Gut
KX266342	Escherichia coli C	Escherichia coli	Gut
KX266343	Escherichia coli C	Escherichia coli	Gut
KX266344	Escherichia coli C	Escherichia coli	Gut
KX266345	Escherichia coli C	Escherichia coli	Gut
KX266346	Escherichia coli C	Escherichia coli	Gut
KX266347	Escherichia coli C	Escherichia coli	Gut
KX266348	Escherichia coli C	Escherichia coli	Gut
KX266349	Escherichia coli C	Escherichia coli	Gut
KX266350	Escherichia coli C	Escherichia coli	Gut
KX266351	Escherichia coli C	Escherichia coli	Gut
KX266352	Escherichia coli C	Escherichia coli	Gut
KX266353	Escherichia coli C	Escherichia coli	Gut
KX266354	Escherichia coli C	Escherichia coli	Gut
KX266355	Escherichia coli C	Escherichia coli	Gut
KX266356	Escherichia coli C	Escherichia coli	Gut
KX266357	Escherichia coli C	Escherichia coli	Gut
KX266358	Escherichia coli C	Escherichia coli	Gut
KX266359	Escherichia coli C	Escherichia coli	Gut
KX266360	Escherichia coli C	Escherichia coli	Gut
KX266361	Escherichia coli C	Escherichia coli	Gut
KX266362	Escherichia coli C	Escherichia coli	Gut
KX266363	Escherichia coli C	Escherichia coli	Gut
KX266364	Escherichia coli C	Escherichia coli	Gut
KX266365	Escherichia coli C	Escherichia coli	Gut
KX266366	Escherichia coli C	Escherichia coli	Gut
KX266367	Escherichia coli C	Escherichia coli	Gut
KX266368	Escherichia coli C	Escherichia coli	Gut
KX266369	Escherichia coli C	Escherichia coli	Gut
KX266370	Escherichia coli C	Escherichia coli	Gut
KX266371	Escherichia coli C	Escherichia coli	Gut
KX266372	Escherichia coli C	Escherichia coli	Gut
KX266373	Escherichia coli C	Escherichia coli	Gut
KX266374	Escherichia coli C	Escherichia coli	Gut
KX266375	Escherichia coli C	Escherichia coli	Gut
KX266376	Escherichia coli C	Escherichia coli	Gut
KX266377	Escherichia coli C	Escherichia coli	Gut
KX266378	Escherichia coli C	Escherichia coli	Gut
KX266379	Escherichia coli C	Escherichia coli	Gut
KX266380	Escherichia coli C	Escherichia coli	Gut
KX266381	Escherichia coli C	Escherichia coli	Gut
KX266382	Escherichia coli C	Escherichia coli	Gut
KX266383	Escherichia coli C	Escherichia coli	Gut
KX266384	Escherichia coli C	Escherichia coli	Gut
KX266385	Escherichia coli C	Escherichia coli	Gut
KX266386	Escherichia coli C	Escherichia coli	Gut
KX266387	Escherichia coli C	Escherichia coli	Gut
KX266388	Escherichia coli C	Escherichia coli	Gut
KX266389	Escherichia coli C	Escherichia coli	Gut
KX266390	Escherichia coli C	Escherichia coli	Gut
KX266391	Escherichia coli C	Escherichia coli	Gut
KX266392	Escherichia coli C	Escherichia coli	Gut
KX266393	Escherichia coli C	Escherichia coli	Gut
KX266394	Escherichia coli C	Escherichia coli	Gut
KX266395	Escherichia coli C	Escherichia coli	Gut
KX266396	Escherichia coli C	Escherichia coli	Gut
KX266397	Escherichia coli C	Escherichia coli	Gut
KX266398	Escherichia coli C	Escherichia coli	Gut
KX266399	Escherichia coli C	Escherichia coli	Gut
KX266400	Escherichia coli C	Escherichia coli	Gut
KX266401	Escherichia coli C	Escherichia coli	Gut
KX266402	Escherichia coli C	Escherichia coli	Gut
KX266403	Escherichia coli C	Escherichia coli	Gut
KX266404	Escherichia coli C	Escherichia coli	Gut
KX266405	Escherichia coli C	Escherichia coli	Gut
KX266406	Escherichia coli C	Escherichia coli	Gut
KX266407	Escherichia coli C	Escherichia coli	Gut
KX266408	Escherichia coli C	Escherichia coli	Gut
KX266409	Escherichia coli C	Escherichia coli	Gut
KX266410	Escherichia coli C	Escherichia coli	Gut
KX266411	Escherichia coli C	Escherichia coli	Gut
KX266412	Escherichia coli C	Escherichia coli	Gut
KX266413	Escherichia coli C	Escherichia coli	Gut
KX266414	Escherichia coli C	Escherichia coli	Gut
KX266415	Escherichia coli C	Escherichia coli	Gut
KX266416	Escherichia coli C	Escherichia coli	Gut
KX266417	Escherichia coli C	Escherichia coli	Gut
KX266418	Escherichia coli C	Escherichia coli	Gut
KX266419	Escherichia coli C	Escherichia coli	Gut
KX266420	Escherichia coli C	Escherichia coli	Gut
KX266421	Escherichia coli C	Escherichia coli	Gut
KX266422	Escherichia coli C	Escherichia coli	Gut
KX266423	Escherichia coli C	Escherichia coli	Gut
KX266424	Escherichia coli C	Escherichia coli	Gut
KX266425	Escherichia coli C	Escherichia coli	Gut
KX266426	Escherichia coli C	Escherichia coli	Gut
KX266427	Escherichia coli C	Escherichia coli	Gut
