	H800_swab_1	H800_swab_2	H801_swab_1	H802_swab_1	H802_swab_2	H803_swab_1	H803_swab_2	H804_swab_1	H804_swab_4	H805_swab_1	H805_swab_2	H806_swab_1	H806_swab_2	H807_swab_1	H807_swab_2	H809_swab_1	H809_swab_2	H810_swab_1	H813_swab_3	H813_swab_4	H814_chip	H814_chip_2	H815_chip	H817_chip	H817_swab_1	H817_swab_2	H818_swab_1	H818_swab_2	H819_swab_1	H819_swab_2	H820_swab_1	H820_swab_2	H821_chip	H821_swab_1	H821_swab_2	H822_swab_1	H822_swab_2	H823_chip	H823_swab_1	H825_swab_1	H825_swab_2	H827_chip	H827_swab_1	H827_swab_2	H831_chip	H831_chip_2	H831_swab_1	H831_swab_2	H833_swab_1	H834_swab_1	H834_swab_2	H835_chip	H835_chip_2	H837_swab_1	H837_swab_2	H838_chip	H840_chip	H840_swab_1	H840_swab_2	H841_chip	H841_swab_1	H841_swab_2
Membrane Transport	24494.3405453892	17174.5655432102	26755.0669737301	4283.59842917511	6320.56065824715	6559.07052894533	29989.990986792	9132.70919316657	16074.9425164147	23874.9289688828	29133.2399462574	24229.7349686627	25020.5860137847	13885.1116402463	13600.7254331661	2125.474888305	25683.0438718051	25080.074994451	6808.31663282546	6213.4252381071	11495.7977520132	12282.6745221815	10047.2362245488	7249.16681850403	5571.24489508069	7811.69114832773	7887.67500747674	3319.8694720957	3908.44883544318	16999.4391589269	6232.15585480245	2835.31808881578	9321.30569496099	8647.08884280614	18101.2705419514	5408.22595746723	7675.46788680423	11628.4060237858	10937.1556061423	10107.6689736735	5576.64252659072	5630.2944322229	8224.16566147738	7517.50675665135	7679.13990888631	25197.1946412932	11812.8058501105	16142.2717537068	24448.3713046996	8209.96665592526	8663.52673662209	11742.9450859267	12082.7974780622	3680.74124168994	4359.73948749678	9166.82125386851	8503.74348248196	28544.8597009075	30563.9521713921	8032.93063258798	28722.2586912111	34597.6270179404
Metabolite damage and its repair or mitigation	1335.49769348632	1256.17976898064	1536.16285526933	674.638026523897	708.107482796362	1148.84344952697	1284.84287260642	744.948963590635	1180.8049592198	1219.97267049711	1657.5913253414	1820.39149546108	1677.25667730067	983.019784453611	854.272833618424	793.312097258384	1749.35161227261	1496.37552427183	672.722360975898	648.45461990628	1295.55672955958	1086.86998436947	822.452644024795	842.28486438936	690.641266284446	735.919343106372	675.852542440305	896.224820637712	766.293756820044	1164.41517511412	827.017233589255	634.651642076713	1480.72747942817	867.149698003531	1231.74153516422	688.839900363958	798.785883618015	1403.77774174777	763.05827897279	1178.20289242636	895.02067006495	1078.41308526671	790.623895087152	608.227314623493	1734.1099950601	1462.06631724361	824.489109792549	982.312324248879	1716.43956378329	1412.80872396027	1814.38512852406	1453.05051213224	1319.75242201445	1051.9639907327	1069.52547110878	1439.87988048624	1594.79780072095	1642.0648767079	1833.2203307035	1270.69820782331	1765.19488172399	1535.09209914955
Microbial communities	169.567800784176	173.800961385654	184.569476948751	80.79936079912	146.783611330847	207.282450662264	588.138973037882	184.11583817044	496.132828055256	565.944077051359	372.799314813379	687.501541210373	920.753797689488	449.681518813753	760.549348159828	49.0149709502837	279.932954168241	87.8467500398987	168.689395451445	101.60291441543	663.298875783993	575.15567285232	519.313433225929	634.899827221508	339.229163364778	114.804753434452	440.84664944552	111.371351670057	75.9010493092457	67.1946951615276	248.172666221326	24.7246576478861	813.804947158611	32.3501789008533	436.601949574606	86.1842274737973	109.978150654063	660.858424494421	135.005330869242	410.012182344219	217.750684359291	360.960292133981	790.986097050841	189.64247622213	401.366705088094	287.002358855188	712.78787897144	1002.3454348499	703.587627355296	408.282921592308	556.301352783409	711.26463495435	701.430695023573	152.373696210451	171.732658645021	729.104752914979	622.551606979844	1532.21689134134	957.057042573287	356.436398500904	515.82724306177	213.392613358218
Miscellaneous	2260.90401045568	1707.02538152655	2366.47883692686	1426.16200704811	1197.54650135586	1639.20030568415	1201.14039238627	1433.8020897523	1288.86256972653	1496.8012482834	2243.63926493506	2272.64215999415	2234.96370241226	1208.5129653604	1168.10425104287	713.377702623684	2007.6478000283	2452.08945524427	906.702576383657	825.327206661101	1541.91743344147	1662.37068162062	1733.8994062254	2018.16523912111	855.857071802135	1068.68613933402	722.151244839213	1031.4517458029	691.994351154596	1850.12056505518	619.626448390271	763.448041366365	2037.24127515409	1495.35913160668	1782.26832803761	950.504550878687	1050.78160279138	1909.85302953709	1128.85769113939	1580.93178176436	1346.25423108471	1310.51217534254	830.355875712685	1069.55161115776	1770.13008397826	1718.85571419788	1016.90902464166	1178.7454681447	1955.45835226952	1663.94926528351	1898.39895799826	1706.63677679524	1755.98615874272	1302.66417714113	1307.81364385385	1756.48919214624	2044.72229526298	2025.87562254661	2044.72667791642	1890.79759373883	2107.35286479083	2035.96763029127
Motility and Chemotaxis	6027.87459665788	3726.31842303086	6970.4845415283	594.304943981656	824.623787640463	791.614436717113	4067.31326015876	1410.74064165493	3059.36892589765	3511.48352628878	5962.0077718795	7065.69784044755	6482.93588172814	4454.14682204334	4386.00807441202	284.571072071438	4964.99648556089	5483.24627662407	1046.38422667357	963.057687042765	649.656945149525	1684.9697797441	1403.69447977307	229.198768922297	503.665438929229	1257.42515398025	1272.79549547129	226.789479171789	727.112495470713	3584.7221668089	1716.81772303811	398.720269224318	331.623326731834	2190.69397390366	5016.09308933413	705.898095838544	1088.38618008732	450.639478879539	1816.93042069729	591.126945947026	377.251185646578	39.8909922788603	2256.64421707397	1881.601315683	123.497447719414	4198.06404316763	3171.65365778305	4272.40794401907	7696.927318669	556.025485755965	223.937641851483	908.175271824206	840.406108904309	45.8974640062373	292.27895973068	237.054741536512	93.8267772355398	5492.61058760289	7373.15106983035	267.230700155264	5762.41134751754	5461.66208518286
Nitrogen Metabolism	454.556995484764	381.144996550449	254.493532132124	250.541299097848	317.534184101144	471.613535888728	717.939891817989	329.748961185867	239.250948746592	599.940717722289	518.651054205616	657.9339877987	776.404409071569	951.475204932908	1102.23839800317	252.527906639004	638.366242676224	571.157896995179	332.384312199675	283.894636065186	1051.73240548289	819.821099673796	768.425065818062	542.079822181333	371.568520281964	315.761776991655	243.972459125494	400.51178451728	196.041182000868	281.049550386603	187.106417547627	215.520245868742	630.744146127387	268.719889355588	373.964429940545	242.099591853843	332.34602104882	1268.46668129055	355.750408287335	478.985498740333	303.054523885642	449.651264967313	220.4156428162	337.322171899439	720.401778363246	643.241023799681	414.863242659847	588.247326868977	338.112746544787	600.515524459936	768.151958927407	1306.90575272303	1231.82461161417	351.424524886219	455.642494339896	560.520573979133	469.133886177699	676.116019353472	995.941953439822	653.70286079045	1036.67954474757	659.485305446365
Nucleosides and Nucleotides	7596.40425614986	5512.79026885487	7964.60727454638	3830.07621318104	4157.1696579999	5688.7197844032	5497.18162445027	4538.01703985807	6948.89761762743	6462.20890376414	6469.01532796695	6994.96993675919	7389.7130327737	5879.24741483674	5463.39301243197	3077.76339167995	6243.28389483806	6662.30984476479	3773.15905854313	3555.14016674484	8782.66546067694	7801.38981003174	7490.28502179742	6333.26490348511	3700.78504457061	4274.1879282285	4267.5143593559	4283.15514937261	3623.35626684714	5631.55445312298	4301.28062211253	2915.57163939851	7335.52672308935	4299.00896900207	5775.98109757636	3769.60186920915	4448.84145040998	8433.39596188851	4756.64603506308	5543.14950259245	4282.1206009504	6709.85105926828	3524.90226688662	3303.98645971367	6747.7633240024	5733.48094879516	5520.62289179856	6792.87164145269	7062.7571286852	7066.98901672415	7987.80388326079	9600.70734474996	9795.87126726061	5857.45789363704	6079.80425700884	7679.87114788687	6816.27725979998	6037.15500015222	6206.51356845711	7299.1796321472	6862.50116173363	6353.26386839074
Phosphate Metabolism	2149.79496751289	1534.23683132295	2498.86266164827	483.996830640071	681.97628069181	433.638563636023	1289.44944938668	981.450141430997	1746.0074121574	1510.83375998606	1930.71034170259	2024.48919781611	2189.47208078736	1099.88478562519	1089.8367725166	183.632622117179	1895.76324902472	1716.05582008634	599.056724271336	583.999757898338	2299.59571291119	2130.95694328383	1324.46255301654	593.196094387025	459.031781035262	748.610486758762	982.324442345246	289.32746870499	441.446707044267	1336.26585759855	619.117266948935	234.806103983465	1765.88810535316	681.972811881406	1584.39263139185	495.66736242202	784.846484282103	2160.20829558128	1146.87929653691	1276.92606843035	757.930953497272	1039.5592587871	653.947771484694	451.893211536095	967.396673802073	1362.45081562532	1489.58532101199	1716.1036922773	2428.87423403361	1372.99132111528	1643.24143573976	2349.01354671872	2364.70232661423	335.228015953248	372.039582467702	1915.87175193363	1417.05461915404	1355.45254445314	1622.30656454073	1346.35432565211	1786.63222959159	1656.12985925618
Photosynthesis	225.936388510796	270.480666573295	300.244455354865	227.110816689695	437.080425876387	530.586771921104	200.141059261752	444.508237868633	260.335360552782	393.927176348499	375.983131480579	195.209014179874	256.795562070328	159.565988340767	124.217090906019	65.1439701571201	262.719946321535	253.700979230326	213.768367166177	472.590789863502	591.592811197953	544.707269655429	524.761726636693	327.721261318753	226.442315273436	390.670139141674	134.498491960643	392.265203515757	281.316061478026	256.937338081241	133.287123341313	304.291456639913	353.556409689964	387.038122382023	254.085385477516	467.313875349396	961.659549622803	581.777951569352	796.280716749087	405.418923105261	308.143825594876	609.215234082754	32.6454204664011	427.261436599684	813.024864152806	386.742535694523	66.4831187397583	119.060320687754	190.119412996861	299.121420824574	175.649041069363	693.34836654127	621.052404332496	578.74936824788	571.043661123859	428.679774820086	451.372438635169	454.750626350335	412.977463163615	849.914181696816	424.978163383846	419.349718081821
Prokaryotic cell type differentiation	1977.85097333509	1491.15929179631	1389.47248306102	253.022565536238	409.955276207122	296.043921358827	4554.30356857464	575.894301978015	1062.34795594414	3860.02535681636	1362.10020259078	3750.40795196917	4013.66078793363	5639.61299791938	6828.54252348319	242.827371255384	697.585520349375	744.178666953094	824.685516273719	422.152954261292	1176.29946974723	1042.4480930199	1072.93034431963	961.178290534455	644.270370208978	520.364721203382	2276.53689513511	103.413826085082	232.760969960783	509.201998995232	2450.56002143195	154.161835043457	1388.01591009958	313.825835948982	3548.23026425043	289.902879509821	459.417161382851	1191.77054423257	705.624206118957	929.603368662286	516.073050515294	582.887179178707	4411.91912804943	859.360465033726	566.029968713979	1035.8017364765	5165.89481633594	7900.73801530993	4616.18880886155	751.948925508312	875.248255606535	1382.91898128772	1272.75264612274	28.3034361371796	67.1958956225794	1232.40702999498	1066.20167711826	708.680319582373	1290.37100108272	729.255939984145	1190.50355465678	1335.52758651516
Prophages, Transposable elements, Plasmids	1605.18464276776	803.74322457721	1983.24782650928	171.856843249571	251.05191715171	283.519649118147	594.738466013865	372.865884512516	385.803190414246	1056.67524717471	1783.08371600737	1806.92358673084	1328.65919159138	434.414855715832	1086.72381389244	73.9025455460784	3296.9673945514	1264.64529265359	147.939500323802	206.607450301706	455.932048346413	690.221309862667	513.321908214093	371.2800201607	91.761811638296	225.657440205221	104.933572213314	46.6569448828451	62.5821179555575	312.23068456037	243.933434686483	88.8962406454971	631.640205226883	413.71368219532	205.521432231664	163.147808745115	255.043306480651	689.867844210652	411.71532852724	467.534248276542	258.429383635202	348.594084527534	55.5586316475943	224.482013744801	459.684944288928	1274.67946000671	128.902538877732	179.789190619897	552.140408261155	379.556210863957	431.024884169871	515.158172971512	475.587616063433	61.5496760904156	65.6722292413904	736.003338242277	715.220028940871	4552.74698151553	1507.1526078616	377.482039721923	1725.88374860213	1438.03601587462
Protein Fate (folding, modification, targeting, degradation)	8553.13012215472	7505.0152179862	9776.34812398625	4770.32631817691	4835.36252538088	4487.56739049485	6290.29692883132	5980.16383554101	7140.34511546862	6928.24759858461	9375.42519505638	8872.71353793669	7411.04936291611	6208.21464562943	6257.09704357276	3649.41742914193	6167.38805807225	7067.58633226322	4565.35122156734	4573.79677024213	8919.65367464144	7777.45374236278	8707.93865560296	6266.07173921473	3929.78867254754	5598.77038403598	3622.66405246519	3325.12347937296	4086.61904626062	5537.42197377932	4498.91406992405	3556.4747751915	7058.88884109936	4181.80625938601	6527.19153423547	4567.216580243	5487.93621839692	8930.52999017625	6554.53623788387	6131.27807098072	4928.80120480371	5932.64155970182	3640.31871001168	3758.2762763787	5780.36665020033	7354.50817287645	4641.75341779765	5285.87809375287	9267.8224103777	6399.83843225193	6410.59457855356	9365.23371678639	9383.5068630597	3681.18256345923	3918.07497604519	7872.48469797039	6829.14787396123	7582.43987544004	8582.50593560098	6636.40937146715	8691.77176004589	8518.90979534879
Protein Synthesis	17634.3252224617	15356.6755745495	20366.8181616351	10777.9286520993	11184.5969677288	14030.3906636489	15563.8260488656	12382.5917097269	17241.2844000482	14803.8897173377	16600.0541468408	17701.1218011349	16067.9884860783	14026.458758202	13676.1879016632	9530.76444647673	14172.661986843	9664.10649925315	10385.8862909484	10530.8476629561	19754.6936715728	17342.8584219109	17947.4709740961	14769.3735480987	9711.53115451532	12063.2715853526	9031.48711546309	10906.2785080905	10303.1409007386	8537.3486087539	11714.4603313787	8589.14601907676	15821.0434754846	8142.36057557874	11427.6039675411	11304.0223974099	12424.4251349317	18591.0641449925	12619.7702182638	14650.6894397055	11886.2373567458	15995.8677187043	9329.98872890467	8881.8452368274	16108.1837642022	13325.3541191865	11171.5365424941	12739.205947862	18088.8960495672	14087.7462106381	15269.5502245308	21203.5371127459	21376.2947908189	13754.6049720015	14118.0409519121	18941.1807265306	16544.8141270952	13075.6489192288	15043.8422378168	16907.9702702632	15058.4339688386	14440.0430844494
