#NAME	H800_swab_1_S1	H800_swab_2_S1	H801_swab_1_S1	H802_swab_1_S1	H802_swab_2_S1	H803_swab_1_S1	H803_swab_2_S1	H804_swab_1_S1	H804_swab_4_S1	H805_swab_1_S1	H805_swab_2_S1	H806_swab_1_S1	H806_swab_2_S1	H807_swab_1_S1	H807_swab_2_S1	H809_swab_1_S1	H809_swab_2_S1	H810_swab_1_S1	H813_swab_3_S1	H813_swab_4_S1	H814_chip_2_S1	H814_chip_S1	H815_chip_S1	H817_chip_S1	H817_swab_1_S1	H817_swab_2_S1	H818_swab_1_S1	H818_swab_2_S1	H819_swab_1_S1	H819_swab_2_S1	H820_swab_1_S1	H820_swab_2_S1	H821_chip_S1	H821_swab_1_S1	H821_swab_2_S1	H822_swab_1_S1	H822_swab_2_S1	H823_chip_S1	H823_swab_1_S1	H825_swab_1_S1	H825_swab_2_S1	H827_chip_S1	H827_swab_1_S1	H827_swab_2_S1	H831_chip_2_S1	H831_chip_S1	H831_swab_1_S1	H831_swab_2_S1	H833_swab_1_S1	H834_swab_1_S1	H834_swab_2_S1	H835_chip_2_S1	H835_chip_S1	H837_swab_1_S1	H837_swab_2_S1	H838_chip_S1	H840_chip_S1	H840_swab_1_S1	H840_swab_2_S1	H841_chip_S1	H841_swab_1_S1	H841_swab_2_S1
o__Asterales	6358	5028	5163	4388	4582	905	972	4929	4124	8944	103035	9064	4293	4436	1893	2713	8387	26053	2698	5012	217	764	794	76	6011	4932	5407	1209	4532	21493	5310	5528	770	12326	113014	5066	2770	17	5176	3383	3613	148	5642	3172	20700	4	2021	1390	9249	1493	1726	262	548	260	8357	308	252	154917	173944	241	112760	246130
o__Pilosa	0	0	0	4	5	0	0	0	0	0	1	2	0	3	1	0	10	0	1	12	4	3	1	2	0	0	7	0	0	4	4	6	0	2	0	0	0	0	1	0	1	0	1	0	0	0	6	0	2	0	2	0	1	0	0	6	6	1	2	0	0	4
o__Entomobryomorpha	30	31	3	46	569	148	6	4553	16	23	7	6	19	19	17	21	11	6	42	97	1	10	9	3	59	309	21	293	17	16	18	23	6	21	17	1483	565	8	292	29	58	25	34	16	3	0	13	36	10	32	79	5	21	132	181	4	4	19	15	17	4	20
o__Oxalidales	5	2	8	53	330	6	0	260	8	56	9	7	14	27	30	15	17	6	81	174	0	0	0	0	78	244	84	66	216	89	71	162	1	62	147	271	147	0	317	119	88	2	15	15	0	0	11	48	2	9	22	0	0	9	26	0	0	14	3	0	2	8
o__Aplousobranchia	0	0	0	0	0	5	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
o__Pleuronectiformes	23	303	22	31	21	7	22	26	76	77	12	12	4	202	223	586	353	0	354	831	10	5	4	1	181	22	614	84	302	156	312	389	3	831	161	51	53	0	62	92	31	3	1118	384	4	0	395	16	24	15	2	0	2	5	3	1	1	79	2	43	1	0
o__Psittaciformes	0	20	3	7	8	8	0	0	0	0	0	0	0	2	5	1	8	2	3	7	1	2	8	2	5	5	5	0	2	0	2	9	0	5	0	18	6	0	9	5	1	0	0	0	8	0	0	4	3	2	0	0	0	0	2	0	0	3	2	0	2	11
o__Thoreales	0	0	0	1	3	0	0	2	0	3	0	2	0	1	0	0	0	0	0	0	1	13	0	0	0	0	0	0	2	0	0	0	1	3	0	2	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	1	5	0	0	0	0	0	0	16	12	4
o__Diprotodontia	3	1	0	26	40	11	0	5	0	0	0	0	0	2	18	0	0	0	0	3	3	0	0	3	1	16	1	4	0	0	2	0	8	1	0	1	48	0	3	3	0	0	1	0	2	0	0	0	0	0	0	0	0	13	0	0	6	2	1	0	0	1
o__Bradymonadales	92	132	127	67	110	105	20	120	99	128	203	229	131	143	98	60	27	42	95	123	107	1138	318	28	77	142	39	140	50	65	71	39	750	68	78	71	75	31	134	643	174	395	12	10	25	4	36	77	41	352	766	173	590	60	59	543	228	56	87	416	510	119
