#NAME	H800_swab_1_S1	H800_swab_2_S1	H801_swab_1_S1	H802_swab_1_S1	H802_swab_2_S1	H803_swab_1_S1	H803_swab_2_S1	H804_swab_1_S1	H804_swab_4_S1	H805_swab_1_S1	H805_swab_2_S1	H806_swab_1_S1	H806_swab_2_S1	H807_swab_1_S1	H807_swab_2_S1	H809_swab_1_S1	H809_swab_2_S1	H810_swab_1_S1	H813_swab_3_S1	H813_swab_4_S1	H814_chip_2_S1	H814_chip_S1	H815_chip_S1	H817_chip_S1	H817_swab_1_S1	H817_swab_2_S1	H818_swab_1_S1	H818_swab_2_S1	H819_swab_1_S1	H819_swab_2_S1	H820_swab_1_S1	H820_swab_2_S1	H821_chip_S1	H821_swab_1_S1	H821_swab_2_S1	H822_swab_1_S1	H822_swab_2_S1	H823_chip_S1	H823_swab_1_S1	H825_swab_1_S1	H825_swab_2_S1	H827_chip_S1	H827_swab_1_S1	H827_swab_2_S1	H831_chip_2_S1	H831_chip_S1	H831_swab_1_S1	H831_swab_2_S1	H833_swab_1_S1	H834_swab_1_S1	H834_swab_2_S1	H835_chip_2_S1	H835_chip_S1	H837_swab_1_S1	H837_swab_2_S1	H838_chip_S1	H840_chip_S1	H840_swab_1_S1	H840_swab_2_S1	H841_chip_S1	H841_swab_1_S1	H841_swab_2_S1
g__Coleophoma	25	129	29	829	476	31	21	621	174	93	23	13	8	217	112	277	196	7	229	291	0	1	6	4	461	311	391	123	319	190	478	524	9	319	79	266	154	0	237	169	310	3	609	268	28	0	180	35	15	272	401	2	2	27	20	0	7	59	9	0	12	6
g__Gorillibacterium	73	97	4	6	75	21	218	42	12	402	184	468	491	652	480	11	4	6	50	13	13	17	103	2	42	37	1305	6	52	9	151	2	60	15	1028	11	2	0	21	12	6	2	327	52	108	0	1322	3336	3113	7	14	2	8	1	9	2	0	51	4766	2	149	1548
g__Ursus	1	2	2	0	20	10	0	2	1	0	0	0	0	4	1	1	1	2	2	17	26	1	7	7	0	0	0	0	0	0	2	5	0	10	0	2	1	0	3	5	0	0	3	0	9	0	0	0	0	1	1	0	0	0	4	3	0	0	2	0	1	1
g__Chaetomium	81	896	278	316	280	76	813	517	301	215	26	65	24	1079	779	1637	830	23	6247	11020	10	3	20	11	5153	693	1213	387	1124	1086	607	1013	79	1293	303	232	94	0	188	307	174	3	2387	3520	11	0	2261	122	68	156	154	2	1	7	20	0	6	248	6	5	14	4
g__Youngimonas	0	2	0	0	0	0	0	0	0	0	3	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	7
g__Carboxylicivirga	2	4	0	0	2	3	8	6	0	67	41	2	6	6	17	1	0	14	0	4	0	2	1	0	0	10	2	1	0	0	0	2	1	1	0	4	2	0	4	21	3	0	1	0	14	0	2	5	7	0	3	0	4	2	3	3	0	1	49	3	46	111
g__Iodobacter	6	2	9	7	1	0	0	6	2	0	28	3	1	7	3	0	2	26	2	4	1	1	5	0	0	6	4	4	1	7	13	0	0	0	33	3	2	0	5	0	3	0	1	2	12	0	3	5	5	0	2	0	0	0	2	2	0	93	83	0	43	256
g__Tenggerimyces	11	11	9	34	35	5	7	112	12	17	7	60	55	16	8	9	7	2	22	16	189	787	389	87	8	49	2	3	5	3	3	3	494	2	22	18	15	23	36	242	85	154	0	3	5	5	12	42	19	308	871	91	256	2	6	286	75	12	8	63	18	14
g__Tritonibacter	25	11	49	0	4	0	15	6	4	36	66	13	67	2	3	3	1	10	7	11	0	5	10	0	3	11	0	0	3	2	0	3	1	2	1	4	5	3	10	4	1	0	0	3	4	0	2	4	4	5	0	2	0	0	0	0	0	10	9	7	82	57
g__Adonisia	2	5	4	13	14	5	0	8	2	3	5	6	3	3	2	0	3	2	10	5	0	6	6	0	0	9	0	10	2	8	1	0	9	20	1	14	9	0	16	15	4	2	0	0	0	0	0	2	2	21	4	0	4	0	4	1	0	3	3	21	21	8
g__Candidatus Phycorickettsia	8	0	21	1	4	0	0	2	3	2	0	1	3	3	5	0	0	7	2	4	0	0	0	0	0	2	0	2	1	0	0	0	1	2	0	0	4	0	12	1	3	0	0	1	0	0	0	0	5	0	1	0	0	0	1	0	0	0	0	0	0	0
g__Acnistus x Iochroma	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Thermobaculum	9	19	25	60	88	145	2	51	6	71	25	386	286	49	14	18	22	6	87	96	320	3892	6951	131	95	159	20	212	13	10	8	12	2434	35	15	48	56	71	98	1588	482	644	2	8	16	10	106	187	8	1184	3460	633	2165	195	283	2435	683	39	20	1034	86	55
g__Megachile	0	0	0	1	5	1	0	4	7	4	2	0	0	0	0	0	0	0	0	3	0	0	0	2	7	2	2	2	6	0	5	0	0	0	5	6	6	0	12	4	2	0	0	0	0	0	0	0	0	0	1	2	0	1	1	0	0	0	2	0	0	0
g__Celerinatantimonas	1	7	3	2	0	0	1	1	2	15	193	2	9	10	1	0	219	3	4	2	0	0	2	0	4	0	5	0	0	0	2	0	1	2	53	1	0	0	3	0	1	0	0	0	1	0	24	15	0	0	6	0	0	0	0	2	0	5	2	1	1	19
g__Lazarusvirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
g__Pecten	0	3	0	11	16	5	3	2	0	0	2	0	0	1	0	1	2	2	5	2	0	0	0	0	13	4	5	3	0	1	1	0	3	0	6	4	30	0	10	1	2	0	1	4	0	0	2	2	0	0	0	0	0	0	0	0	0	1	1	0	0	1
g__Simonsiella	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Pellia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Tranquillimonas	12	17	14	4	2	0	0	5	39	8	10	85	7	16	6	0	2	13	3	5	1	21	10	0	2	8	2	2	0	2	2	2	4	0	1	1	2	0	7	8	5	1	0	0	6	0	4	1	4	2	2	7	19	0	1	1	0	3	13	5	49	14
g__Variimorphobacter	0	0	0	0	0	2	0	0	2	9	2	7	7	1	0	0	0	0	0	1	2	0	0	0	2	1	1	2	0	0	0	0	2	0	0	0	2	0	2	0	0	0	0	0	34	0	1	9	7	0	0	0	0	0	0	0	0	4	93	0	959	5
g__Pontibrevibacter	1	6	4	1	0	0	0	1	0	1	1	13	6	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	0	1	3	1	0	0	1	0	0	0	0	3	0	0	1	4	0	0	0	0	0	0	0	0	2	3	0	122	1
g__Cryobacterium	853	1563	1020	83	131	110	791	203	10287	1859	668	567	388	1400	1514	85	59	169	70	72	2329	3130	1944	241	143	144	524	21	769	839	1307	13	1041	44	236	105	51	56	173	499	160	316	16	53	28	2	315	399	2845	329	538	455	1669	162	89	631	173	165	100	201	101	228
g__Kineobactrum	23	8	8	9	10	87	1	14	9	7	18	30	26	2	8	1	6	187	10	5	1	24	25	0	9	10	0	2	1	26	1	2	63	41	20	12	4	0	10	32	7	26	0	2	1	1	0	32	14	9	4	1	7	0	0	12	9	48	14	11	25	36
g__Goekera	4	13	15	7	15	7	6	15	9	9	17	2	6	53	4	0	0	0	35	2	134	364	809	11	2	44	2	5	2	1	7	4	102	11	84	11	14	2	35	1	5	1	0	1	3	0	2	1	2	17	18	30	38	0	14	100	3	1	3	0	0	1
g__Rhodella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Donghicola	4	14	7	2	2	1	0	6	8	4	37	23	35	9	3	2	2	6	2	2	7	114	7	0	0	0	0	4	2	1	5	2	11	5	14	3	4	0	3	13	4	1	0	4	12	0	2	0	0	0	0	6	2	0	0	8	4	1	12	5	121	102
g__Aminomonas	5	1	7	0	2	0	0	4	1	9	8	0	8	5	7	0	2	1	0	4	11	35	11	2	0	2	0	4	0	0	0	0	1	0	0	4	0	1	2	2	3	1	0	2	2	0	3	2	2	4	0	16	32	3	4	17	1	2	4	1	2	5
g__Potyvirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Rhizopus	13	32	3	196	98	32	23	24	58	45	20	8	12	23	44	73	24	6	112	77	4	31	7	4	86	85	31	39	66	35	73	25	5	30	13	41	22	2	84	37	70	3	77	107	8	0	40	54	9	170	21	13	11	118	0	0	1	28	8	3	4	2
g__Apis	0	2	0	0	9	1	0	3	0	3	1	0	0	0	0	0	0	1	0	4	2	0	1	1	7	2	1	2	3	0	0	1	0	0	1	4	41	0	33	2	0	0	0	4	0	0	0	4	0	1	8	0	0	1	0	0	0	0	0	0	0	0
g__Jenstvirus	0	0	0	0	0	0	0	0	0	4	0	0	4	7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	38	0	0	0	0	0	0	0	0	0	5	0	0	0
g__Kaistella	8	13	2	0	11	2	13	7	3	59	37	5	8	3	0	0	0	2	1	19	5	5	3	6	0	5	0	0	0	0	0	2	1	1	0	2	14	0	15	2	0	0	1	0	25	0	0	0	0	1	3	0	0	2	0	0	3	0	142	2	30	143
g__Aequoribacter	1	5	0	0	0	4	0	4	2	0	9	4	0	2	2	0	0	10	5	0	0	0	12	0	2	0	0	0	1	2	0	0	0	0	1	0	2	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	2	14	4	12	17
