#NAME	H800_swab_1_S1	H800_swab_2_S1	H801_swab_1_S1	H802_swab_1_S1	H802_swab_2_S1	H803_swab_1_S1	H803_swab_2_S1	H804_swab_1_S1	H804_swab_4_S1	H805_swab_1_S1	H805_swab_2_S1	H806_swab_1_S1	H806_swab_2_S1	H807_swab_1_S1	H807_swab_2_S1	H809_swab_1_S1	H809_swab_2_S1	H810_swab_1_S1	H813_swab_3_S1	H813_swab_4_S1	H814_chip_2_S1	H814_chip_S1	H815_chip_S1	H817_chip_S1	H817_swab_1_S1	H817_swab_2_S1	H818_swab_1_S1	H818_swab_2_S1	H819_swab_1_S1	H819_swab_2_S1	H820_swab_1_S1	H820_swab_2_S1	H821_chip_S1	H821_swab_1_S1	H821_swab_2_S1	H822_swab_1_S1	H822_swab_2_S1	H823_chip_S1	H823_swab_1_S1	H825_swab_1_S1	H825_swab_2_S1	H827_chip_S1	H827_swab_1_S1	H827_swab_2_S1	H831_chip_2_S1	H831_chip_S1	H831_swab_1_S1	H831_swab_2_S1	H833_swab_1_S1	H834_swab_1_S1	H834_swab_2_S1	H835_chip_2_S1	H835_chip_S1	H837_swab_1_S1	H837_swab_2_S1	H838_chip_S1	H840_chip_S1	H840_swab_1_S1	H840_swab_2_S1	H841_chip_S1	H841_swab_1_S1	H841_swab_2_S1
f__Endeidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Helotiaceae	18	199	55	587	375	49	44	405	172	172	20	22	11	257	142	489	319	10	536	636	0	0	5	13	719	388	869	241	585	350	891	995	3	729	188	231	140	0	230	231	237	1	1453	593	12	0	441	53	44	341	427	0	2	14	9	0	12	121	11	0	10	7
f__Plasmodiidae	34	212	70	215	1878	559	55	1345	224	52	74	164	28	59	124	239	206	149	2204	2595	2089	21	302	490	506	1149	196	206	199	128	58	82	28	776	76	764	589	2	481	744	380	62	114	163	1401	0	56	138	162	91	91	7	18	28	106	155	45	155	204	42	132	64
f__Paxillaceae	1	11	3	4	10	0	2	32	13	8	3	0	0	2	9	9	6	1	21	16	1	0	3	0	16	36	16	17	30	8	13	4	18	8	4	20	18	0	28	15	20	1	9	7	0	0	4	9	2	7	9	0	0	5	6	2	0	3	0	20	4	1
f__Barnesiellaceae	1	8	2	14	46	11	9	11	0	35	82	2	2	3	5	10	8	8	6	39	44	1	23	6	0	13	2	3	1	0	2	2	5	17	1	35	11	0	11	14	6	7	1	5	32	0	3	6	3	4	3	0	0	18	4	2	5	3	15	4	25	69
f__Scorpionidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
f__Filobasidiaceae	49	56	16	175	86	34	63	84	466	205	46	40	11	621	92	363	42	24	148	187	3	36	10	3	129	100	59	46	344	653	1372	147	22	50	29	161	156	0	312	63	114	4	51	51	742	0	19	32	5	42	61	1	21	37	4	36	23	141	10	1	10	20
f__Tetranychidae	8	16	3	72	1854	791	20	42	18	13	6	5	4	24	14	14	4	1	78	156	1	2	2	13	38	72	14	506	43	14	8	44	1	18	2	1477	1174	95	108	33	270	21	9	4	120	0	8	18	1	21	45	45	24	39	61	2	2	1	3	1	0	3
f__Dipodascaceae	47	64	18	756	389	120	38	39	227	135	15	9	9	50	52	314	62	20	260	170	8	21	3	18	384	421	98	159	196	98	154	127	1	164	30	89	75	3	71	71	87	5	264	142	63	1	91	181	14	75	96	12	24	2	0	3	8	50	9	3	5	9
f__Rhizobiaceae	94229	20088	48418	1511	2728	969	2956	5682	4716	20703	63402	31567	69655	4943	3238	651	5348	11049	3047	2761	631	2997	4946	279	1075	3176	961	472	829	5266	912	1334	1380	2859	4260	2291	2122	154	3757	1962	1315	758	763	2650	36081	6	782	1268	5126	1139	1547	544	1699	162	454	2158	468	4371	65152	634	64205	547762
f__Gelidiaceae	0	0	0	1	0	0	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Lycosidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Apidae	2	11	1	12	51	24	0	12	0	4	11	18	57	5	6	3	33	1	19	29	6	0	2	4	11	25	10	15	8	1	4	5	0	15	3	35	217	0	146	24	11	1	4	8	10	0	4	7	2	8	31	2	1	7	4	1	0	3	4	1	150	8
f__Serendipitaceae	66	103	28	188	96	28	61	100	499	222	36	7	9	50	74	676	46	27	122	198	5	11	5	2	100	204	31	151	487	76	300	178	2	60	42	54	18	0	98	39	32	20	42	36	3	0	27	19	10	50	52	3	10	41	26	2	1	127	18	0	11	15
f__Musophagidae	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Menispermaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Thorselliaceae	8	22	6	0	6	0	0	2	6	0	9	21	33	2	0	0	87	0	0	0	2	2	1	0	0	0	0	0	0	0	0	0	0	1	2	2	2	0	3	2	0	1	0	0	3	0	0	3	2	0	0	3	1	0	0	0	1	13	5	0	2	20
f__Schisandraceae	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Erysiphaceae	323	1261	160	1967	1366	114	129	1324	692	390	156	44	50	899	572	1287	940	254	3196	2666	11	4	15	131	2702	2522	1511	1323	1473	2342	1001	1766	20	1485	958	1071	654	2	830	709	839	19	2704	1384	98	1	621	149	103	1281	1385	2	3	44	41	1	9	317	47	0	47	83
f__Arcobacteraceae	14	42	19	12	15	43	24	18	11	239	284	250	94	187	164	7	21	36	11	18	6	15	35	10	16	26	23	8	7	51	44	1	26	11	103	13	10	2	20	15	10	10	230	11	21	0	46	193	131	49	93	6	16	3	1	69	6	31	78	14	100	225
